"playerID","feature_batting_average","feature_rbi","feature_homeruns","feature_stolen_bases","feature_runs_scored","feature_ERA","feature_saves","feature_strikeouts","feature_wins","feature_WHIP","feature_putouts","feature_assists","feature_doubleplays","feature_allstar_appearences","feature_awards","feature_salary","classification"
"bedrost01","0.0980","2","0","0","3","3.478666663169861","184","921","76","1.2964","64","122","11","0","3","942500.0000","N"
"chambch01","0.2786","972","185","40","912",\N,\N,\N,\N,\N,"17771","1351","1687","0","3","784726.0000","N"
"hornebo01","0.2772","685","218","14","560",\N,\N,\N,\N,\N,"3641","1440","418","0","1","1416666.6667","N"
"murphda05","0.2652","1266","398","161","1197",\N,\N,\N,\N,\N,"6319","300","172","0","19","1841666.6667","N"
"suttebr01","0.0882","6","0","1","6","3.079166720310847","300","861","68","1.1398","90","145","9","0","10","1666667.0000","Y"
"washicl01","0.2776","824","164","312","926",\N,\N,\N,\N,\N,"3198","104","22","0",\N,"693333.3333","N"
"boddimi01",\N,\N,\N,\N,\N,"4.099999984105428","3","1330","134","1.3199","245","366","37","0","3","1598611.2222","N"
"dauerri01","0.2570","372","43","6","448",\N,\N,\N,\N,\N,"2115","2823","664",\N,\N,"480000.0000","N"
"dempsri01","0.2329","471","96","20","525","4.5","0","0","0","2.0000","7402","771","114",\N,"2","390570.7500","N"
"flanami01",\N,\N,\N,\N,\N,"4.068947377957795","4","1491","167","1.3343","89","430","26","0","3","653932.2500","N"
"lynnfr01","0.2830","1111","306","72","1063",\N,\N,\N,\N,\N,"4556","114","33","0","12","1233333.3333","N"
"martide01","0.1423","33","0","1","25","4.02250000834465","8","2149","245","1.2656","319","763","61","0",\N,"2083440.2308","N"
"mcgresc01",\N,\N,\N,\N,\N,"4.452307682770949","5","904","138","1.2907","119","317","18","0",\N,"866095.2500","N"
"murraed02","0.2871","1917","504","110","1627",\N,\N,\N,\N,\N,"21265","1871","2034","0","9","2331478.6923","Y"
"ripkeca01","0.2756","1695","431","36","1647",\N,\N,\N,\N,\N,"4112","8214","1682","0","29","4108823.5882","Y"
"boggswa01","0.3279","1014","118","24","1513","3.375","0","2","0","1.7143","2115","4304","472","0","17","2113287.7333","Y"
"bucknbi01","0.2889","1208","174","183","1077",\N,\N,\N,\N,\N,"15126","1379","1203","0",\N,"460277.8333","N"
"clemero02","0.1732","12","0","0","5","3.220833331346512","0","4672","354","1.1725","320","575","31","0","22","5761952.3810","N"
"evansdw01","0.2719","1384","385","78","1470",\N,\N,\N,\N,\N,"5450","228","153","0","13","1126822.4286","N"
"hurstbr01","0.1131","8","0","0","11","5.030000075697899","0","1689","145","1.3250","98","355","15","0",\N,"1516111.1111","N"
"kisonbr01","0.1634","31","3","2","31","3.728000020980835","12","1073","115","1.3013","140","297","27",\N,\N,"370000.0000","N"
"remyje01","0.2752","329","7","208","605",\N,\N,\N,\N,\N,"2293","3243","744","0",\N,"483333.0000","N"
"riceji01","0.2981","1451","382","58","1249",\N,\N,\N,\N,\N,"3103","137","19","0","10","1888652.6000","Y"
"boonebo01","0.2537","826","105","38","679",\N,\N,\N,\N,\N,"11325","1185","155","0","8","1047580.0000","N"
"burleri01","0.2726","449","50","72","656",\N,\N,\N,\N,\N,"2349","4109","893","0","4","637778.0000","N"
"candejo01","0.1745","48","1","0","39","3.7917391424593716","29","1673","177","1.1842","58","339","16","0",\N,"783611.1111","N"
"carewro01","0.3278","1015","92","353","1424",\N,\N,\N,\N,\N,"13510","3709","1796","0","14","875000.0000","Y"
